TRUE,Model 16,Model 15,Model 14,Model 13,Model 12,Model 11,Model 10,Model 9,Model 8,Model 7,Model 6,Model 5,Model 4,Model 3,Model 2,Model 1
0.000462379,0.000428737,0.000257088,0.000437133,0.000529048,0.000288414,0.000538523,0.000524569,0.000450231,0.00041057,0.000403402,0.000449107,0.00060475,0.000532605,0.000609266,0.0006954,0.000579736
0.000467644,0.000440099,0.000280502,0.000455595,0.000540117,0.000311949,0.000547951,0.000522112,0.000468621,0.000421364,0.000410577,0.000455035,0.000608012,0.00043342,0.000593026,0.000740116,0.000575437
0.000629082,0.000495001,0.000324087,0.000483408,0.000580534,0.000333214,0.000617171,0.000610493,0.000507144,0.000455412,0.000460496,0.000502747,0.000614607,0.000472474,0.000632307,0.000687258,0.000554451
0.000368566,0.000493007,0.00032319,0.000477793,0.000577899,0.0003129,0.000634966,0.000519383,0.000518343,0.000467746,0.000472304,0.000512194,0.000609609,0.000529513,0.000649343,0.000808932,0.000601671
0.000376008,0.000507383,0.000334132,0.000525018,0.000606423,0.000285861,0.000674469,0.000586318,0.000554469,0.000473787,0.000492389,0.00053249,0.000619015,0.000483129,0.000630139,0.000801803,0.000572017
0.00055936,0.000487828,0.000342207,0.000509293,0.000602365,0.000262355,0.000670778,0.000594102,0.000502424,0.000457346,0.000478835,0.000522987,0.000605151,0.000513833,0.000610646,0.000736326,0.000525645
0.00039618,0.000417171,0.000286529,0.00042657,0.000528682,0.000238097,0.00060037,0.000607873,0.000455691,0.000413799,0.00040808,0.000455846,0.000604786,0.000533728,0.000614119,0.00069412,0.000510566
0.000294633,0.000373691,0.000246391,0.000390493,0.000469091,0.000248158,0.000547533,0.000425556,0.00040049,0.00038106,0.000366064,0.000414092,0.000611631,0.000557279,0.000631993,0.000726293,0.000508749
0.000239248,0.000413657,0.000291863,0.000446609,0.000506928,0.00030015,0.000563626,0.000608057,0.000433576,0.000398142,0.000412655,0.000459323,0.000605515,0.000442877,0.00058202,0.000649072,0.000466911
0.000296324,0.000468831,0.000345435,0.000496847,0.000572809,0.000333597,0.000595459,0.000518754,0.000486811,0.000423565,0.000463196,0.000512785,0.000603774,0.000433206,0.000577557,0.000900611,0.000656566
0.000283075,0.000455621,0.000342811,0.000465094,0.000566853,0.00031908,0.000573407,0.000495855,0.000475601,0.000428107,0.000448242,0.000509417,0.000598478,0.000485155,0.000600507,0.000918697,0.000637011
