TRUE,Model 16,Model 15,Model 14,Model 13,Model 12,Model 11,Model 10,Model 9,Model 8,Model 7,Model 6,Model 5,Model 4,Model 3,Model 2,Model 1
0.000381964,0.000318843,0.000331997,0.000348962,0.000311391,0.00047947,0.000301304,0.000451624,0.000237086,0.000352654,0.000340177,0.000199859,0.00052459,0.000442279,0.000445267,0.000503576,0.000574955
0.00068198,0.000290037,0.000344654,0.000332649,0.000293381,0.000477835,0.000300093,0.000581323,0.000223534,0.000382144,0.000398427,0.000188883,0.000523278,0.000451535,0.000454314,0.00045263,0.000526238
0.000350787,0.000337418,0.000377822,0.000383531,0.000306101,0.000479604,0.00026706,0.000365881,0.000380732,0.000413182,0.000438424,0.000143001,0.000523442,0.000444786,0.000454085,0.000435738,0.000515305
0.000514693,0.000421152,0.000417787,0.000469115,0.000393963,0.000485625,0.000246937,0.000310022,0.000386446,0.000445304,0.000469173,0.000127504,0.000524205,0.00044613,0.000457267,0.000428513,0.000481715
0.00051649,0.000460542,0.000437711,0.000509661,0.00044095,0.000488708,0.000236102,0.000475592,0.000342951,0.000455163,0.000481606,0.000149518,0.000521702,0.000450679,0.000460502,0.000492108,0.000488938
0.000361912,0.000445913,0.000420213,0.00049019,0.000418639,0.00047852,0.000199376,0.00034435,0.000277748,0.000428867,0.000450118,0.00016166,0.000526369,0.000452746,0.000465794,0.000582426,0.000514201
0.000375214,0.000396802,0.000333727,0.000435033,0.000346964,0.000451321,0.00018359,0.000386497,0.00033854,0.000398385,0.000406095,0.000173281,0.000527001,0.000451118,0.000485837,0.000527037,0.000477623
0.000368143,0.000428542,0.000341095,0.000455856,0.000377276,0.000417901,0.000249026,0.00043304,0.000408029,0.000425717,0.000428625,0.000222689,0.000535481,0.000445415,0.000485267,0.000561259,0.000472713
0.000488166,0.000439144,0.000393007,0.000466935,0.000416164,0.000387747,0.000303817,0.0004464,0.000325585,0.000451022,0.000467729,0.000261504,0.000531175,0.000459894,0.000500782,0.000526503,0.000458013
0.000309623,0.000414871,0.000424655,0.00045462,0.000400046,0.000371899,0.000283798,0.000444956,0.000336494,0.000429313,0.000447788,0.000232133,0.000530075,0.00046866,0.000511097,0.000611514,0.000483669
0.000310063,0.000389133,0.00042251,0.000442673,0.000371603,0.000376703,0.000244952,0.00033387,0.000364861,0.000400513,0.000407865,0.000173236,0.000539084,0.000464224,0.000510717,0.00060975,0.000463846
0.000492353,0.000364413,0.000418717,0.000418455,0.000350586,0.000394978,0.000228634,0.000477451,0.000311338,0.000391938,0.000391821,0.000147352,0.000526004,0.000463206,0.000503881,0.000559423,0.000430544
0.000332375,0.000319894,0.000431112,0.000377467,0.000320198,0.000416679,0.000199488,0.00040825,0.000230989,0.000391656,0.000393896,0.000135103,0.000527144,0.000468707,0.000505686,0.000538768,0.00042976
0.000272545,0.000301033,0.000428749,0.000358425,0.000293022,0.000434211,0.000157689,0.000372963,0.000341562,0.000380188,0.00037343,0.000114948,0.000528664,0.000475786,0.000509994,0.000577269,0.000434271
0.000231326,0.000330721,0.000433032,0.000377733,0.000313712,0.00044773,0.000156904,0.00038686,0.000326576,0.000380733,0.000363825,0.000126569,0.000527989,0.000462315,0.000493333,0.000514323,0.000402008
0.000269035,0.000328095,0.000425093,0.000370002,0.000326664,0.000455287,0.000186001,0.00035192,0.000258827,0.000390017,0.000379551,0.000187744,0.000523948,0.000460362,0.000487347,0.000724198,0.000551595
0.000263754,0.000327357,0.000418967,0.000365954,0.000323357,0.000453564,0.000215122,0.00041322,0.000291944,0.000387544,0.000383659,0.000245904,0.000521875,0.000428522,0.000480036,0.000759039,0.000548226
0.000458318,0.000345972,0.000412584,0.000379913,0.000331284,0.000443193,0.000240329,0.000383017,0.000361301,0.000386394,0.000378029,0.000271585,0.000530185,0.000421412,0.000477284,0.000669729,0.000502197
0.000303349,0.000388409,0.000445215,0.000418469,0.000383925,0.000439284,0.000302863,0.000399213,0.000371688,0.000410002,0.000407564,0.000300134,0.000523285,0.000403953,0.000467109,0.000633829,0.000497466
0.000266679,0.000451358,0.000515474,0.000480544,0.000462041,0.000448969,0.000380163,0.000389035,0.00041174,0.000457858,0.000474201,0.000338091,0.000517668,0.000405028,0.000460965,0.00058274,0.000468853
0.000227385,0.000475979,0.000553458,0.000516334,0.000504397,0.000469105,0.000413004,0.00037622,0.000426098,0.00048649,0.000509727,0.000336683,0.000519458,0.000405205,0.000459098,0.0005331,0.000435257
0.000905036,0.000446245,0.000528136,0.000504294,0.000481405,0.000496311,0.000376833,0.000551186,0.000415816,0.000475706,0.000483453,0.000285516,0.000517336,0.000397777,0.000448412,0.000566143,0.000430138
0.0002791,0.000444292,0.000493204,0.000494223,0.000458482,0.000516519,0.000348597,0.000355877,0.000475062,0.000459478,0.000445663,0.000237265,0.000518267,0.000415845,0.000459067,0.000774394,0.000575319
0.000207963,0.000448973,0.000468336,0.000483967,0.0004493,0.000511455,0.000343319,0.000363057,0.000409202,0.000452263,0.000420788,0.000217986,0.000522845,0.000400828,0.00045453,0.000765776,0.000648228
0.00040265,0.000388793,0.00039894,0.000420635,0.000379293,0.000478539,0.00031116,0.000455398,0.000354856,0.000432928,0.000391634,0.000204732,0.000520866,0.000399311,0.000453728,0.000701027,0.000612572
0.000277564,0.000354097,0.000369749,0.000394062,0.000337121,0.00043922,0.000277505,0.00035313,0.000276388,0.000417019,0.000375463,0.000203694,0.000516379,0.000401031,0.00044866,0.000619721,0.000559809
0.000331233,0.000386736,0.000405958,0.000436374,0.000371831,0.000420134,0.00030252,0.000376753,0.000261724,0.00043634,0.000422647,0.000245213,0.000524382,0.00044839,0.000492254,0.000602262,0.000522766
0.001053117,0.000525485,0.000492617,0.000563207,0.000490349,0.000424591,0.000408072,0.000667117,0.000569978,0.000505584,0.000522613,0.000309604,0.000539999,0.000428449,0.000473502,0.00055725,0.000481994
0.000560713,0.000647471,0.000565182,0.000671258,0.000612776,0.000442493,0.000525053,0.000512227,0.000679972,0.000557476,0.000622165,0.000330297,0.000527734,0.000412053,0.000457984,0.000553368,0.000457718
